Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.55	0.4491	6.66	0.3799	2.61
6	Standard 2	Calibration Standard	4.543	0.9854	7.06	0.8336	5.56
7	Standard 3	Calibration Standard	4.543	2.0387	7.15	1.7247	11.13
8	Standard 4	Calibration Standard	4.497	10.6567	7.22	9.0157	54
9	Standard 5	Calibration Standard	4.467	19.6207	6.63	16.5992	93.15
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	4.52	635.542	7.56	5.3767	33.29
13	P1A_40	Unknown	4.53	355.2289	5.65	3.0053	19.02
14	P2A_20	Unknown	4.533	304.9606	4.29	2.58	16.39
15	P2A_40	Unknown	4.533	323.611	4.82	2.7378	17.33
16	P3A_20	Unknown	4.517	634.9466	7.74	5.3717	33.27
17	P3A_40	Unknown	4.52	572.0768	7.58	4.8398	30.09
18	P4A_20	Unknown	4.533	358.6388	4.74	3.0341	19.18
19	P4A_40	Unknown	4.54	168.8753	2.92	1.4287	9.22
20	P5A_20	Unknown	4.533	264.6246	3.52	2.2387	14.27
21	P5A_20_DUP	Unknown	4.533	259.85	3.52	2.1983	14.01
22	P5A_40	Unknown	4.527	433.2847	5.19	3.6656	23.03
23	P5A_40_SPK	Spiked	4.52	599.948	7.62	5.042	31.25
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
