Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.567	0.3947	6.29	0.3563	2.47
6	Standard 2	Calibration Standard	4.56	0.8944	6.83	0.8073	5.4
7	Standard 3	Calibration Standard	4.553	1.8794	7.04	1.6965	10.91
8	Standard 4	Calibration Standard	4.517	9.968	7.22	8.9983	53.53
9	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
10	Standard 5	Calibration Standard	4.473	19.9382	7.25	17.9985	99.17
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	L1_20	Unknown	4.54	454.0906	5.66	4.0992	25.78
14	L1_40	Unknown	4.533	588.8464	6.28	5.3156	33
15	L1_80	Unknown	4.547	273.4502	3.36	2.4685	15.74
16	L2_20	Unknown	4.537	576.705	6.75	5.206	32.36
17	L2_40	Unknown	4.53	697.2816	6.98	6.2945	38.71
18	L2_80	Unknown	4.543	384.0966	4.58	3.4673	21.94
19	L3_20	Unknown	4.55	219.093	2.71	1.9778	12.68
20	L3_40	Unknown	4.54	428.002	4.93	3.8637	24.36
21	L3_40_DUP	Unknown	4.54	429.5358	4.94	3.8775	24.4
22	L3_80	Unknown	4.547	317.0151	3.94	2.8618	18.14
23	L3_80_SPK	Spiked	4.537	524.3609	6.34	4.7022	29.32
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
