Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.323	4.5939	93.71	5.3058	47.33
6	Standard 2	Calibration Standard	3.32	9.5327	93.17	11.01	97.3
7	Standard 3	Calibration Standard	3.313	19.4048	92.96	22.412	195.64
8	Standard 4	Calibration Standard	3.297	100.0827	92.78	115.5928	979.41
9	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
10	Standard 5	Calibration Standard	3.297	199.3765	92.74	230.2744	1929.66
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	L1_20	Unknown	3.303	5753.6982	91.69	66.4537	570.22
14	L1_40	Unknown	3.3	6694.5915	91.35	77.3207	662.25
15	L1_80	Unknown	3.3	5972.1192	93.93	68.9764	592.11
16	L2_20	Unknown	3.3	6056.4345	90.76	69.9502	598.98
17	L2_40	Unknown	3.3	7079.3542	90.71	81.7646	698.91
18	L2_80	Unknown	3.303	6081.0793	92.82	70.2348	602.56
19	L3_20	Unknown	3.303	5972.3257	94.6	68.9787	591.62
20	L3_40	Unknown	3.303	6276.273	92.53	72.4892	620.93
21	L3_40_DUP	Unknown	3.3	6293.0934	92.54	72.6835	622.11
22	L3_80	Unknown	3.3	5878.9081	93.4	67.8998	582.11
23	L3_80_SPK	Spiked	3.3	5885.7488	91.06	67.5286	579.44
