Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.647	0.49	7.05	0.4569	3.32
6	Standard 2	Calibration Standard	4.647	0.9952	7.08	0.928	6.79
7	Standard 3	Calibration Standard	4.64	1.9379	7.07	1.8071	13.25
8	Standard 4	Calibration Standard	4.59	10.1085	7.16	9.4264	62.13
9	Standard 5	Calibration Standard	4.543	19.9716	7.2	18.6239	108.6
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Standard 3	Check Standard	4.64	1.9671	7.14	1.8343	13.26
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	333_10_July	Unknown	4.623	354.479	3.92	3.3056	23.51
14	333_20_July	Unknown	4.643	78.433	0.94	0.7314	4.94
15	333_40_July	Unknown	4.65	9.086	0.11	0.0847	0.55
16	333_80_July	Unknown	4.647	2.016	0.03	0.0188	0.13
17	333_120_July	Unknown	4.647	1.3145	0.02	0.0123	0.09
18	633_10_July	Unknown	4.6	789.8754	7.58	7.3657	49.73
19	633_20_July	Unknown	4.637	191.5608	2.16	1.7863	12.71
20	633_40_July	Unknown	4.65	9.7145	0.11	0.0906	0.6
21	633_80_July	Unknown	4.65	10.7801	0.14	0.1005	0.65
22	633_80_July_DUP	Unknown	4.65	10.9257	0.14	0.1019	0.66
23	633_120_July	Unknown	4.65	6.1649	0.09	0.0575	0.37
24	633_120_July_SPK	Spiked	4.64	180.5201	2.55	1.6722	11.93
