Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.18	0.0294	40.38	0.0266	0.02
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.183	0.4494	6.58	0.4067	3.44
6	Standard 2	Calibration Standard	4.177	0.9433	6.85	0.8537	7.05
7	Standard 3	Calibration Standard	4.173	1.9384	7	1.7543	14.13
8	Standard 4	Calibration Standard	4.133	9.9849	7.1	9.0365	65.27
9	Standard 5	Calibration Standard	4.097	19.9417	7.08	18.0476	116.41
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	3.927	0.0763	1.5	0.0691	0.22
13	L1_20	Unknown	4.167	326.7048	3.86	2.9567	23.29
14	L1_40	Unknown	4.16	432.4774	4.66	3.914	30.48
15	L1_80	Unknown	4.167	362.9347	3.95	3.2846	25.84
16	L2_20	Unknown	4.16	442.4978	5.05	4.0047	31.18
17	L2_40	Unknown	4.157	515.422	5.53	4.6647	36
18	L2_80	Unknown	4.157	490.1119	5.23	4.4356	34.33
19	L3_20	Unknown	4.18	90.58	1.1	0.8198	6.71
20	L3_40	Unknown	4.167	266.53	2.93	2.4121	19.14
21	L3_40_DUP	Unknown	4.17	262.8552	2.92	2.3789	18.94
22	L3_80	Unknown	4.167	299.7157	3.53	2.7125	21.48
23	L3_80_SPK	Spiked	4.157	480.2233	5.52	4.3173	33.42
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
