Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.183	0.4745	6.6	0.4288	3.62
6	Lab Blank	Unknown	4.17	0.1045	50.97	0.0944	0.04
7	Standard 2	Calibration Standard	4.177	0.9563	6.78	0.8643	7.16
8	Standard 3	Calibration Standard	4.177	1.8771	6.86	1.6966	13.75
9	Standard 4	Calibration Standard	4.133	9.9416	6.99	8.9855	65.26
10	Standard 5	Calibration Standard	4.093	19.9943	7.07	18.0715	117.19
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	L1_20	Unknown	4.163	344.8703	4.44	3.117	24.71
14	L1_40	Unknown	4.157	509.3099	5.44	4.6033	35.7
15	L1_80	Unknown	4.167	336.6442	3.9	3.0427	24.13
16	L2_20	Unknown	4.153	580.6767	6.74	5.2483	40.34
17	L2_40	Unknown	4.153	571.2334	6.08	5.163	39.74
18	L2_80	Unknown	4.153	578.3045	6.15	5.2269	40.22
19	L3_20	Unknown	4.173	217.4678	2.58	1.9655	15.84
20	L3_40	Unknown	4.167	304.5657	3.45	2.7528	21.95
21	L3_40_DUP	Unknown	4.17	302.04	3.44	2.7299	21.77
22	L3_80	Unknown	4.167	362.1292	4.27	3.273	25.9
23	L3_80_SPK	Spiked	4.157	535.7254	6.2	4.81	37.29
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
