Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.187	0.4659	6.49	0.4201	3.54
6	Standard 2	Calibration Standard	4.183	0.9434	6.69	0.8508	7.07
7	Standard 3	Calibration Standard	4.177	1.8683	6.83	1.6848	13.83
8	Standard 4	Calibration Standard	4.137	9.9278	7	8.9526	65.36
9	Standard 5	Calibration Standard	4.097	19.9613	7.07	18.0006	117.2
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	L1_20	Unknown	4.157	543.9674	6.31	4.9054	38.25
13	L1_40	Unknown	4.153	629.2071	5.7	5.674	43.77
14	L1_80	Unknown	4.167	357.7921	3.89	3.2265	25.75
15	L2_20	Unknown	4.147	704.6412	7.64	6.3543	48.53
16	L2_40	Unknown	4.157	584.3225	6.09	5.2693	40.85
17	L2_80	Unknown	4.157	564.6466	6.02	5.0918	39.59
18	L3_20	Unknown	4.167	306.0128	3.4	2.7595	22.22
19	L3_40	Unknown	4.167	309.0032	3.52	2.7865	22.45
20	L3_40_DUP	Unknown	4.17	311.5486	3.53	2.8095	22.65
21	L3_80	Unknown	4.17	279.8909	3.26	2.524	20.39
22	L3_80_SPK	Spiked	4.16	459.6691	5.25	4.1177	32.53
23	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
24	Standard 1	Check Standard	4.183	0.5183	7.07	0.4673	3.9
