Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	3.08	0.009	16.12	0.0106	0.03
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.087	4.8714	93.42	5.7761	60.9
6	Standard 2	Calibration Standard	3.083	9.7842	93.06	11.6012	121.11
7	Standard 3	Calibration Standard	3.08	19.6349	92.95	23.2812	239.33
8	Standard 4	Calibration Standard	3.067	99.6416	92.89	118.1458	1183.33
9	Standard 5	Calibration Standard	3.07	199.7018	92.91	236.7879	2331.92
10	Lab Blank	Unknown	3.083	0.0104	100	0.0124	0.11
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
13	L1_20	Unknown	3.07	6040.8295	93.54	71.6265	716.29
14	L1_40	Unknown	3.07	6580.1951	92.82	78.0218	779.55
15	L1_80	Unknown	3.07	6559.0377	93.6	77.771	775.86
16	L2_20	Unknown	3.07	6153.1695	91.97	72.9586	728.68
17	L2_40	Unknown	3.07	6555.5478	92.15	77.7296	775.34
18	L2_80	Unknown	3.07	6609.7899	92.39	78.3728	781.28
19	L3_20	Unknown	3.07	6055.6867	96.15	71.8027	717.59
20	L3_40	Unknown	3.07	6558.2292	94.57	77.7614	775.49
21	L3_40_DUP	Unknown	3.07	6491.5018	94.58	76.9702	767.29
22	L3_80	Unknown	3.07	6084.4929	93.81	72.1443	721.04
23	L3_80_SPK	Spiked	3.07	6105.0093	91.88	71.9081	718.07
