Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.087	5.1132	93	6.0667	64.74
6	Standard 2	Calibration Standard	3.083	10.0516	92.84	11.9261	125.93
7	Standard 3	Calibration Standard	3.083	19.4016	92.92	23.0198	239.17
8	Standard 4	Calibration Standard	3.067	100.4407	92.96	119.1714	1205.65
9	Standard 5	Calibration Standard	3.07	199.7524	92.91	237.0032	2358.18
10	Lab Blank	Unknown	3.09	0.0116	40.39	0.0137	0.11
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	3.073	5799.0973	86.33	68.8054	696.5
13	P1A_40	Unknown	3.07	6104.1671	86.8	72.425	731.5
14	P2A_20	Unknown	3.073	5581.2726	85.97	66.221	670.83
15	P2A_40	Unknown	3.073	5883.2642	85.32	69.804	705.86
16	P3A_20	Unknown	3.073	5176.5944	86.41	61.4195	622.35
17	P3A_40	Unknown	3.073	5226.2774	85.86	62.009	629.6
18	P4A_20	Unknown	3.073	4997.9289	86.43	59.2997	601.39
19	P4A_40	Unknown	3.073	5459.6643	86.28	64.7781	657.3
20	P5A_20	Unknown	3.073	5773.9714	86.75	68.5073	693.65
21	P5A_20_DUP	Unknown	3.07	5290.2091	86.67	62.7675	636.04
22	P5A_40	Unknown	3.07	6044.9463	88.24	71.7224	724.92
23	P5A_40_SPK	Spiked	3.073	6014.7411	86.51	70.8914	716.59
