Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.183	0.4756	6.77	0.4306	3.61
6	Standard 2	Calibration Standard	4.18	0.9687	6.89	0.8772	7.22
7	Standard 3	Calibration Standard	4.17	1.9666	6.99	1.7808	14.28
8	Standard 4	Calibration Standard	4.137	10.0334	7.08	9.0856	65.44
9	Standard 5	Calibration Standard	4.097	20.0086	7.11	18.1185	116.49
10	Lab Blank	Unknown	4.187	0.0015	4.55	0.0013	0.01
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	4.18	138.0137	2.36	1.2498	10.12
13	P1A_40	Unknown	4.173	170.7013	3.04	1.5458	12.43
14	P2A_20	Unknown	4.18	109.6574	1.88	0.993	8.09
15	P2A_40	Unknown	4.173	181.2584	2.92	1.6414	13.22
16	P3A_20	Unknown	4.153	558.2533	7	5.0552	38.75
17	P3A_40	Unknown	4.157	472.5642	6.51	4.2793	33.12
18	P4A_20	Unknown	4.173	170.7913	2.51	1.5466	12.44
19	P4A_40	Unknown	4.16	463.8166	6.52	4.2	32.54
20	P5A_20	Unknown	4.17	210.4745	3.36	1.9059	15.25
21	P5A_20_DUP	Unknown	4.173	208.8734	3.33	1.8914	15.14
22	P5A_40	Unknown	4.15	621.9962	7.57	5.6324	42.75
23	P5A_40_SPK	Spiked	4.147	777.2626	9.63	6.9918	51.98
24	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
