Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.087	5.0039	93.23	5.9347	62.81
6	Standard 2	Calibration Standard	3.083	10.0366	93.12	11.9035	124.41
7	Standard 3	Calibration Standard	3.08	20.0169	93.03	23.7403	244.82
8	Standard 4	Calibration Standard	3.063	100.5811	92.92	119.2904	1192.72
9	Standard 5	Calibration Standard	3.067	199.7301	92.89	236.8825	2340.64
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	3.077	4152.1537	89.57	49.2451	497.61
13	P1A_40	Unknown	3.073	5467.8016	88.15	64.8488	651.49
14	P2A_20	Unknown	3.073	4762.5051	90.54	56.4839	568.7
15	P2A_40	Unknown	3.077	5658.6858	87.04	67.1128	674.39
16	P3A_20	Unknown	3.077	3655.4022	89.41	43.3535	439.52
17	P3A_40	Unknown	3.077	3657.4523	88.98	43.3779	440.25
18	P4A_20	Unknown	3.073	4608.0728	90.18	54.6523	551.12
19	P4A_40	Unknown	3.073	5407.7099	87.8	64.1361	644.41
20	P5A_20	Unknown	3.073	5218.0086	88.93	61.8863	620.95
21	P5A_20_DUP	Unknown	3.07	5223.0394	88.89	61.9459	622.05
22	P5A_40	Unknown	3.073	5986.8961	89	71.0054	711.08
23	P5A_40_SPK	Spiked	3.073	5995.4922	87.16	70.6364	708
