"Year","Month","Day","Chamber","CO2","Nitrogen","Treatment","Depth","SampleID","pH"
2024,"May",NA,"14",0,1,2,40,"L14-40","-99"
2024,"May",NA,"14",0,1,2,80,"L14-80","-99"
2024,"May",NA,"15",1,1,4,20,"L15-20","-99"
2024,"May",NA,"15",1,1,4,40,"L15-40","-99"
2024,"May",NA,"15",1,1,4,80,"L15-80","-99"
2024,"May",NA,"16",0,0,1,20,"L16-20","-99"
2024,"May",NA,"16",0,0,1,40,"L16-40","-99"
2024,"May",NA,"16",0,0,1,80,"L16-80","-99"
2024,"May",NA,"17",0,0,1,20,"L17-20","-99"
2024,"May",NA,"17",0,0,1,40,"L17-40","-99"
2024,"May",NA,"17",0,0,1,80,"L17-80","-99"
2024,"May",NA,"18",1,1,4,20,"L18-20","-99"
2024,"May",NA,"18",1,1,4,40,"L18-40","-99"
2024,"May",NA,"18",1,1,4,80,"L18-80","-99"
2024,"May",NA,"19",1,0,3,20,"L19-20","-99"
2024,"May",NA,"19",1,0,3,40,"L19-40","-99"
2024,"May",NA,"19",1,0,3,80,"L19-80","-99"
2024,"May",NA,"20",0,1,2,20,"L20-20","-99"
2024,"May",NA,"20",0,1,2,40,"L20-40","-99"
2024,"May",NA,"20",0,1,2,80,"L20-80","-99"
2024,"July",10,"1",1,1,4,20,"L1-20","6.54"
2024,"July",10,"1",1,1,4,40,"L1-40","6.59"
2024,"July",10,"1",1,1,4,80,"L1-80","6.79"
2024,"July",10,"2",0,0,1,20,"L2-20","6.57"
2024,"July",10,"2",0,0,1,40,"L2-40","6.6"
2024,"July",10,"2",0,0,1,80,"L2-80","6.76"
2024,"July",10,"3",1,0,3,20,"L3-20","6.69"
2024,"July",10,"3",1,0,3,40,"L3-40","6.66"
2024,"July",10,"3",1,0,3,80,"L3-80","6.58"
2024,"July",10,"4",0,1,2,20,"L4-20","6.44"
2024,"July",10,"4",0,1,2,40,"L4-40","6.44"
2024,"July",10,"4",0,1,2,80,"L4-80","6.54"
2024,"July",10,"5",1,1,4,20,"L5-20","6.5"
2024,"July",10,"5",1,1,4,40,"L5-40","6.53"
2024,"July",10,"5",1,1,4,80,"L5-80","6.57"
2024,"July",10,"6",0,0,1,20,"L6-20","6.55"
2024,"July",10,"6",0,0,1,40,"L6-40","6.45"
2024,"July",10,"6",0,0,1,80,"L6-80","6.47"
2024,"July",10,"7",0,0,1,20,"L7-20","6.28"
2024,"July",10,"7",0,0,1,40,"L7-40","6.26"
2024,"July",10,"7",0,0,1,80,"L7-80","6.52"
2024,"July",10,"8",1,0,3,20,"L8-20","6.45"
2024,"July",10,"8",1,0,3,40,"L8-40","6.43"
2024,"July",10,"8",1,0,3,80,"L8-80","NA"
2024,"July",10,"9",1,0,3,20,"L9-20","6.56"
2024,"July",10,"9",1,0,3,40,"L9-40","6.43"
2024,"July",10,"9",1,0,3,80,"L9-80","6.66"
2024,"July",10,"10",0,1,2,20,"L10-20","6.48"
2024,"July",10,"10",0,1,2,40,"L10-40","6.53"
2024,"July",10,"10",0,1,2,80,"L10-80","6.56"
2024,"July",10,"11",0,1,2,20,"L11-20","6.21"
2024,"July",10,"11",0,1,2,40,"L11-40","6.42"
2024,"July",10,"11",0,1,2,80,"L11-80","6.68"
2024,"July",10,"12",1,1,4,20,"L12-20","6.42"
2024,"July",10,"12",1,1,4,40,"L12-40","6.28"
2024,"July",10,"12",1,1,4,80,"L12-80","6.43"
2024,"July",10,"13",1,0,3,20,"L13-20","6.46"
2024,"July",10,"13",1,0,3,40,"L13-40","6.41"
2024,"July",10,"13",1,0,3,80,"L13-80","6.58"
2024,"July",10,"14",0,1,2,20,"L14-20","6.25"
2024,"July",10,"14",0,1,2,40,"L14-40","6.38"
2024,"July",10,"14",0,1,2,80,"L14-80","6.57"
2024,"July",10,"15",1,1,4,20,"L15-20","6.52"
2024,"July",10,"15",1,1,4,40,"L15-40","6.56"
2024,"July",10,"15",1,1,4,80,"L15-80","6.65"
2024,"July",10,"16",0,0,1,20,"L16-20","6.6"
2024,"July",10,"16",0,0,1,40,"L16-40","6.5"
2024,"July",10,"16",0,0,1,80,"L16-80","6.57"
2024,"July",10,"17",0,0,1,20,"L17-20","6.39"
2024,"July",10,"17",0,0,1,40,"L17-40","6.43"
2024,"July",10,"17",0,0,1,80,"L17-80","6.52"
2024,"July",10,"18",1,1,4,20,"L18-20","6.45"
2024,"July",10,"18",1,1,4,40,"L18-40","6.54"
2024,"July",10,"18",1,1,4,80,"L18-80","6.63"
2024,"July",10,"19",1,0,3,20,"L19-20","6.62"
2024,"July",10,"19",1,0,3,40,"L19-40","6.52"
2024,"July",10,"19",1,0,3,80,"L19-80","6.54"
2024,"July",10,"20",0,1,2,20,"L20-20","6.33"
2024,"July",10,"20",0,1,2,40,"L20-40","6.2"
2024,"July",10,"20",0,1,2,80,"L20-80","6.34"
2024,"September",10,"1",1,1,4,20,"L1-20","6.44"
2024,"September",10,"1",1,1,4,40,"L1-40","6.39"
2024,"September",10,"1",1,1,4,80,"L1-80","6.53"
2024,"September",10,"2",0,0,1,20,"L2-20","6.42"
2024,"September",10,"2",0,0,1,40,"L2-40","6.43"
2024,"September",10,"2",0,0,1,80,"L2-80","6.51"
2024,"September",10,"3",1,0,3,20,"L3-20","6.63"
2024,"September",10,"3",1,0,3,40,"L3-40","6.59"
2024,"September",10,"3",1,0,3,80,"L3-80","6.59"
2024,"September",10,"4",0,1,2,20,"L4-20","6.46"
2024,"September",10,"4",0,1,2,40,"L4-40","6.46"
2024,"September",10,"4",0,1,2,80,"L4-80","6.58"
2024,"September",10,"5",1,1,4,20,"L5-20","6.63"
2024,"September",10,"5",1,1,4,40,"L5-40","6.34"
2024,"September",10,"5",1,1,4,80,"L5-80","6.38"
2024,"September",10,"6",0,0,1,20,"L6-20","6.33"
2024,"September",10,"6",0,0,1,40,"L6-40","6.32"
2024,"September",10,"6",0,0,1,80,"L6-80","6.35"
2024,"September",10,"7",0,0,1,20,"L7-20","6.37"
2024,"September",10,"7",0,0,1,40,"L7-40","6.29"
2024,"September",10,"7",0,0,1,80,"L7-80","6.48"
2024,"September",10,"8",1,0,3,20,"L8-20","6.27"
2024,"September",10,"8",1,0,3,40,"L8-40","6.26"
2024,"September",10,"8",1,0,3,80,"L8-80","6.41"
2024,"September",10,"9",1,0,3,20,"L9-20","6.37"
2024,"September",10,"9",1,0,3,40,"L9-40","6.25"
2024,"September",10,"9",1,0,3,80,"L9-80","6.56"
2024,"September",10,"10",0,1,2,20,"L10-20","6.43"
2024,"September",10,"10",0,1,2,40,"L10-40","6.42"
2024,"September",10,"10",0,1,2,80,"L10-80","6.56"
2024,"September",10,"11",0,1,2,20,"L11-20","6.24"
2024,"September",10,"11",0,1,2,40,"L11-40","6.38"
2024,"September",10,"11",0,1,2,80,"L11-80","6.49"
2024,"September",10,"12",1,1,4,20,"L12-20","6.31"
2024,"September",10,"12",1,1,4,40,"L12-40","6.22"
2024,"September",10,"12",1,1,4,80,"L12-80","6.35"
2024,"September",10,"13",1,0,3,20,"L13-20","6.48"
2024,"September",10,"13",1,0,3,40,"L13-40","6.42"
2024,"September",10,"13",1,0,3,80,"L13-80","6.55"
2024,"September",10,"14",0,1,2,20,"L14-20","6.15"
2024,"September",10,"14",0,1,2,40,"L14-40","6.24"
2024,"September",10,"14",0,1,2,80,"L14-80","6.36"
2024,"September",10,"15",1,1,4,20,"L15-20","6.4"
2024,"September",10,"15",1,1,4,40,"L15-40","6.3"
2024,"September",10,"15",1,1,4,80,"L15-80","6.44"
2024,"September",10,"16",0,0,1,20,"L16-20","6.51"
2024,"September",10,"16",0,0,1,40,"L16-40","6.47"
2024,"September",10,"16",0,0,1,80,"L16-80","6.56"
2024,"September",10,"17",0,0,1,20,"L17-20","6.36"
2024,"September",10,"17",0,0,1,40,"L17-40","6.34"
2024,"September",10,"17",0,0,1,80,"L17-80","6.47"
2024,"September",10,"18",1,1,4,20,"L18-20","6.35"
2024,"September",10,"18",1,1,4,40,"L18-40","6.3"
2024,"September",10,"18",1,1,4,80,"L18-80","6.45"
2024,"September",10,"19",1,0,3,20,"L19-20","6.51"
2024,"September",10,"19",1,0,3,40,"L19-40","6.41"
2024,"September",10,"19",1,0,3,80,"L19-80","6.31"
2024,"September",10,"20",0,1,2,20,"L20-20","6.34"
2024,"September",10,"20",0,1,2,40,"L20-40","6.29"
2024,"September",10,"20",0,1,2,80,"L20-80","6.41"
