Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.183	0.4785	6.7	0.4313	3.63
6	Standard 2	Calibration Standard	4.177	0.9597	6.83	0.8651	7.19
7	Standard 3	Calibration Standard	4.177	1.8809	6.89	1.6955	13.86
8	Standard 4	Calibration Standard	4.133	9.9508	7	8.9699	65.47
9	Standard 5	Calibration Standard	4.1	20.0237	7.08	18.0499	117.28
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	SC1_20	Unknown	4.163	392.0002	4.98	3.5336	27.97
13	SC1_40	Unknown	4.167	282.8156	3.46	2.5494	20.5
14	SC1_80	Unknown	4.183	31.7773	0.43	0.2864	2.42
15	SC2_20	Unknown	4.157	560.3412	6.5	5.0511	39.2
16	SC2_40	Unknown	4.16	449.6903	5.21	4.0536	31.93
18	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
19	SC2_80	Unknown	4.17	267.9383	3.45	2.4153	19.38
20	SC4_20	Unknown	4.157	459.328	5.98	4.1405	32.43
21	SC4_40	Unknown	4.16	409.589	5.19	3.6921	29.17
22	SC4_40_DUP	Unknown	4.163	417.2045	5.18	3.7608	29.66
23	SC4_80	Unknown	4.163	334.6067	4.38	3.0162	24.04
24	SC4_80_SPK	Spiked	4.16	510.8384	6.54	4.5743	35.73
