Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height						
No.	Selected Peak:		min	µg/mL	%	µS*min	µS						
			CD	CD	CD	CD	CD						
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4						
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
5	Standard 1	Calibration Standard	4.367	0.3509	5.02	0.311	2.28						
6	Standard 2	Calibration Standard	4.35	0.8453	5.99	0.7492	5.66						
7	Standard 3	Calibration Standard	4.343	1.8037	6.45	1.5984	12.05						
8	Standard 4	Calibration Standard	4.303	9.8697	6.94	8.7467	58.66						
9	Standard 5	Calibration Standard	4.253	19.9865	7.02	17.7123	106.24						
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
12	L1_20	Unknown	4.317	674.3623	7.26	5.9963	41.93						
13	L1_40	Unknown	4.313	602.2038	6.3	5.3547	37.83						
14	L1_80	Unknown	4.327	368.2525	4.15	3.2744	23.79						
15	L2_20	Unknown	4.303	810.0336	8.34	7.2026	49.43						
16	L2_40	Unknown	4.31	654.1963	6.82	5.817	40.73						
17	L2_80	Unknown	4.317	561.8984	6.09	4.9963	35.36						
18	L3_20	Unknown	4.337	355.7172	3.97	3.163	22.99						
19	L3_40	Unknown	4.33	320.6155	3.68	2.8508	20.79						
20	L3_40_DUP	Unknown	4.33	324.0029	3.68	2.881	21.01						
21	L3_80	Unknown	4.33	419.8787	4.75	3.7335	26.92						
22	L3_80_SPK	Spiked	4.323	583.4066	6.46	5.153	36.51						
23	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.						
