Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	7.237	0.4723	6.57	0.7534	3.63
6	Standard 2	Calibration Standard	7.21	1.016	6.86	1.6207	7.65
7	Standard 3	Calibration Standard	7.203	2.019	6.97	3.2206	14.92
8	Standard 4	Calibration Standard	7.137	10.1179	7.04	16.1396	68.74
9	Standard 5	Calibration Standard	7.083	20.1107	7.05	32.0797	123.4
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	7.113	0.0063	35.8	0.0101	0.01
12	333_10_May	Unknown	7.097	300.0659	4.49	4.7865	22.1
13	333_20_May	Unknown	7.103	18.1202	0.19	0.289	1.42
14	333_40_May	Unknown	7.103	20.5084	0.23	0.3271	1.61
15	333_80_May	Unknown	7.15	3.9068	0.04	0.0623	0.31
16	333_120_May	Unknown	7.113	3.5865	0.04	0.0572	0.29
17	633_10_May	Unknown	7.16	348.4519	5.13	5.5583	25.43
18	633_20_May	Unknown	7.167	207.5459	2.24	3.3107	15.38
19	633_40_May	Unknown	7.16	82.3184	0.84	1.3131	6.28
20	633_80_May	Unknown	7.16	10.403	0.13	0.1659	0.81
21	633_80_May_DUP	Unknown	7.15	10.3891	0.13	0.1657	0.81
22	633_120_May	Unknown	7.097	25.2898	0.35	0.4034	1.97
23	633_120_May_SPK	Spiked	7.153	202.2369	2.76	3.2046	14.91
24	Lab Blank	Unknown	7.147	0.0065	9.48	0.0104	0.01
