Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	4.41	0.0181	59	0.017	0.03
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	4.417	0.0138	55.29	0.0129	0.03
5	Standard 1	Calibration Standard	4.69	0.4806	6.87	0.4516	3.48
6	Standard 2	Calibration Standard	4.683	0.9751	6.94	0.9163	7.18
7	Standard 3	Calibration Standard	4.673	1.9445	6.96	1.8272	14.38
8	Standard 4	Calibration Standard	4.62	10.3767	7.05	9.751	67.43
9	Standard 5	Calibration Standard	4.577	19.7495	7.23	18.5585	111.24
10	Lab Blank	Unknown	4.683	0.0166	44.67	0.0156	0.02
11	Lab Blank	Unknown	4.37	0.0166	49.9	0.0156	0.03
12	610_10_Sept	Unknown	4.657	406.1236	5.07	3.8163	28.53
13	610_20_Sept	Unknown	4.653	455.1235	5.55	4.2768	31.73
14	610_40_Sept	Unknown	4.633	757.9374	8.11	7.1223	50.57
15	610_80_Sept	Unknown	4.643	580.4746	6.59	5.4547	39.67
16	610_120_Sept	Unknown	4.653	483.3359	5.99	4.5419	33.51
17	310_10_Sept	Unknown	4.673	205.506	2.61	1.9311	14.61
18	310_20_Sept	Unknown	4.66	385.3999	4.62	3.6216	26.95
19	310_40_Sept	Unknown	4.66	392.0253	4.69	3.6838	27.45
20	310_80_Sept	Unknown	4.663	313.3917	3.85	2.9449	22.04
21	310_80_Sept_DUP	Unknown	4.667	313.4046	3.84	2.945	22.06
22	310_120_Sept	Unknown	4.67	245.2543	3.08	2.3046	17.36
23	310_120_Sept_SPK	Spiked	4.657	404.7215	5.05	3.778	28.02
