Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD	CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	4.697	0.027	50.27	0.0253	0.04
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	4.42	0.0207	44.59	0.0194	0.04
5	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
6	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
7	Standard 1	Calibration Standard	3.327	5.0671	92.13	6.1387	64.3	4.667	0.4877	6.86	0.4573	3.41
8	Standard 2	Calibration Standard	3.32	10.1858	92.41	12.3398	127.94	4.657	0.9906	6.96	0.9289	6.99
9	Standard 3	Calibration Standard	3.32	20.0961	92.73	24.346	248.5	4.653	1.9585	6.99	1.8363	13.83
10	Standard 4	Calibration Standard	3.3	106.9264	92.94	129.5387	1255.26	4.603	10.431	7.02	9.7805	65.68
11	Standard 5	Calibration Standard	3.297	196.5596	92.72	238.1273	2154.78	4.557	19.7576	7.21	18.5253	109.07
12	Lab Blank	Unknown	3.323	0.0132	14.38	0.016	0.11	4.637	0.0332	28.03	0.0311	0.05
13	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	4.66	0.0165	32.16	0.0155	0.03
14	333_10_Sept	Unknown	3.303	6898.3398	95.41	83.5718	813.17	4.657	147.5977	1.58	1.3839	9.75
15	333_20_Sept	Unknown	3.303	6503.5494	96.33	78.789	765.25	4.66	62.9856	0.72	0.5906	4.28
16	333_40_Sept	Unknown	3.303	6490.054	96.78	78.6255	763.11	4.667	23.6288	0.27	0.2216	1.53
17	333_80_Sept	Unknown	3.303	6037.4258	96.81	73.142	711.58	4.667	7.8271	0.1	0.0734	0.48
18	333_120_Sept	Unknown	3.307	5627.1694	96.67	68.1718	663.93	4.663	27.4897	0.37	0.2578	1.82
19	633_10_Sept	Unknown	3.3	7234.8369	91.69	87.6483	847.57	4.623	617.5971	6.06	5.7908	40.52
20	633_20_Sept	Unknown	3.303	7031.1946	93.01	85.1813	824.62	4.637	447.8101	4.58	4.1988	29.99
21	633_40_Sept	Unknown	3.303	6562.6404	96.34	79.5048	769.64	4.667	34.2775	0.39	0.3214	2.25
22	633_80_Sept	Unknown	3.307	5922.8519	96.06	71.7539	696.48	4.667	17.5457	0.22	0.1645	1.12
23	633_80_Sept_DUP	Unknown	3.307	5984.4945	96.06	72.5007	704.41	4.67	17.8762	0.22	0.1676	1.13
24	633_120_Sept	Unknown	3.307	5489.4493	95.93	66.5034	646.85	4.67	15.8357	0.21	0.1485	1
