Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.087	5.0466	93.11	5.9917	63.64
6	Standard 2	Calibration Standard	3.083	9.9262	93.02	11.785	124.23
7	Standard 3	Calibration Standard	3.083	19.2926	93.03	22.9055	237.61
8	Standard 4	Calibration Standard	3.067	100.3318	92.99	119.1208	1203.63
9	Standard 5	Calibration Standard	3.07	199.6603	92.92	237.0502	2357.12
10	Lab Blank	Unknown	3.087	0.0111	100	0.0132	0.12
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	SC1_20	Unknown	3.07	5538.1165	92.72	65.7523	664.65
13	SC1_40	Unknown	3.073	5864.9221	94.4	69.6323	703.62
14	SC1_80	Unknown	3.073	5443.9541	97.12	64.6343	653.74
15	SC2_20	Unknown	3.073	5979.8702	91.41	70.9971	715.3
16	SC2_40	Unknown	3.073	6077.7867	92.73	72.1596	728.95
18	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
19	SC2_80	Unknown	3.073	5542.1843	93.98	65.8006	665.08
20	SC4_20	Unknown	3.073	5346.7203	91.75	63.4799	641.93
21	SC4_40	Unknown	3.073	5552.2783	92.62	65.9204	666.24
22	SC4_40_DUP	Unknown	3.073	5659.9665	92.63	67.199	677.73
23	SC4_80	Unknown	3.073	5418.1452	93.36	64.3279	650.26
24	SC4_80_SPK	Spiked	3.077	5411.6751	91.24	63.8256	644.96
