Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.32	4.5818	93.57	5.3383	47.65
6	Standard 2	Calibration Standard	3.317	9.4678	93.09	11.0312	97.46
7	Standard 3	Calibration Standard	3.313	19.2291	92.9	22.4042	195.92
8	Standard 4	Calibration Standard	3.293	99.2295	92.76	115.6142	982.75
9	Standard 5	Calibration Standard	3.293	200.401	93.35	233.4912	1946.5
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	3.307	3730.9386	89.16	43.4699	375.56
13	P1A_40	Unknown	3.303	3382.6139	90.59	39.4115	340.65
14	P2A_20	Unknown	3.307	3738.8502	91.07	43.5621	376.08
15	P2A_40	Unknown	3.31	2953.4869	90.43	34.4117	298.55
16	P3A_20	Unknown	3.303	4633.8352	88.34	53.9897	463.69
17	P3A_40	Unknown	3.303	3991.3605	88.46	46.5041	400.23
18	P4A_20	Unknown	3.307	3901.1943	90.34	45.4536	391.73
19	P4A_40	Unknown	3.307	3633.789	89.7	42.338	365.29
20	P5A_20	Unknown	3.303	4303.0747	91.38	50.136	430.35
21	P5A_20_DUP	Unknown	3.303	4609.4573	91.4	53.7057	460.07
22	P5A_40	Unknown	3.303	5556.8905	91.04	64.7444	553.42
23	P5A_40_SPK	Spiked	3.303	5584.663	88.75	64.6371	552.29
