Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.21	0.463	6.78	0.415	3.46
6	Standard 2	Calibration Standard	4.207	0.9368	6.89	0.8395	6.89
7	Standard 3	Calibration Standard	4.197	1.8632	6.96	1.6698	13.41
8	Standard 4	Calibration Standard	4.157	9.9025	7.01	8.8745	63.93
9	Standard 5	Calibration Standard	4.123	19.9929	7.06	17.9174	115.08
10	Lab Blank	Unknown	4.207	0.0013	4.35	0.0011	0.01
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	610_10_Sept	Unknown	4.19	393.3425	4.85	3.5251	27.56
13	610_20_Sept	Unknown	4.19	296.4079	4.05	2.6564	21.03
14	610_40_Sept	Unknown	4.177	614.7825	6.69	5.5096	41.96
15	610_80_Sept	Unknown	4.173	633.2217	6.78	5.6749	43.09
16	Lab Blank	Unknown	4.203	0.1667	50.46	0.1494	0.06
17	610_120_Sept	Unknown	4.177	581.343	6.6	5.2099	39.72
18	310_10_Sept	Unknown	4.18	532.4553	6.27	4.7718	36.68
19	310_20_Sept	Unknown	4.187	399.2819	4.99	3.5783	27.98
20	310_40_Sept	Unknown	4.177	532.9075	6.06	4.7759	36.68
21	310_80_Sept	Unknown	4.187	372.8483	4.24	3.3414	26.2
22	310_80_Sept_DUP	Unknown	4.187	378.2743	4.23	3.3901	26.56
23	310_120_Sept	Unknown	4.183	363.1042	4.27	3.2541	25.56
