Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS	min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD	CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.563	0.3657	5.69	0.3085	2.27	3.313	4.3877	94.31	5.114	46.43
6	Standard 2	Calibration Standard	4.557	0.893	6.58	0.7532	5.21	3.313	9.1748	93.42	10.6936	95.4
7	Standard 3	Calibration Standard	4.547	1.9442	6.92	1.64	10.75	3.31	18.9227	93.08	22.0551	194.43
8	Standard 4	Calibration Standard	4.503	10.5332	7.18	8.8851	53.23	3.293	98.4963	92.82	114.8008	982.31
9	Standard 5	Calibration Standard	4.47	19.6223	6.62	16.5521	92.43	3.293	200.349	93.38	233.5137	1930.03
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
12	L1_20	Unknown	4.537	369.0038	3.94	3.1127	19.64	3.297	6284.3141	92.72	73.2458	626.05
13	L1_40	Unknown	4.53	562.5283	5.5	4.7451	29.48	3.297	6753.8527	91.3	78.7185	671.55
14	L1_80	Unknown	4.54	326.4238	3.33	2.7535	17.43	3.297	6618.8277	93.26	77.1447	657.93
15	L2_20	Unknown	4.537	472.5604	4.99	3.9862	24.9	3.3	6270.4936	91.52	73.0848	622.85
16	L2_40	Unknown	4.52	706.0803	6.53	5.956	36.53	3.293	7080.1114	90.5	82.5211	703.51
17	L2_80	Unknown	4.537	468.8391	4.84	3.9548	24.75	3.297	6427.1308	91.73	74.9104	639.21
18	L3_20	Unknown	4.55	119.0489	1.4	1.0042	6.5	3.297	5819.9663	94.69	67.8337	579.44
19	L3_40	Unknown	4.533	390.1441	3.92	3.291	20.68	3.297	6679.2295	92.72	77.8487	665.02
20	L3_40_DUP	Unknown	4.537	365.6604	3.9	3.0845	19.4	3.297	6294.607	92.68	73.3658	626.7
21	L3_80	Unknown	4.543	328.9085	3.63	2.7744	17.5	3.3	6113.3273	93.14	71.2529	607.74
22	L3_80_SPK	Spiked	4.53	535.5639	5.86	4.4877	27.9	3.3	6020.5701	90.96	69.7071	595.33
23	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
24	Standard 1	Check Standard	4.557	0.4501	6.4	0.3797	2.58	3.313	4.761	93.6	5.5491	49.5
25	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.
