Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.563	0.4335	6.43	0.3666	2.53
6	Standard 2	Calibration Standard	4.557	0.968	6.91	0.8187	5.47
7	Standard 3	Calibration Standard	4.553	2.0234	7.1	1.7114	11.03
8	Standard 4	Calibration Standard	4.51	10.6625	7.24	9.0184	53.6
9	Standard 5	Calibration Standard	4.477	19.6654	6.65	16.6331	92.18
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	4.54	422.0829	7.32	3.57	22.42
13	P1A_40	Unknown	4.547	274.6335	5.34	2.3229	14.75
14	P2A_20	Unknown	4.547	288.8804	5.11	2.4434	15.48
15	P2A_40	Unknown	4.55	227.7748	5.06	1.9265	12.32
16	P3A_20	Unknown	4.53	630.5146	8.73	5.3329	32.93
17	P3A_40	Unknown	4.537	514.0149	8.27	4.3476	27.06
18	P4A_20	Unknown	4.543	364.6129	6.13	3.0839	19.44
19	P4A_40	Unknown	4.547	362.459	6.5	3.0657	19.33
20	P5A_20	Unknown	4.547	350.1859	5.4	2.9619	18.66
21	P5A_20_DUP	Unknown	4.547	377.3312	5.43	3.1915	20.05
22	P5A_40	Unknown	4.537	537.6204	6.39	4.5472	28.27
23	P5A_40_SPK	Spiked	4.53	758.3819	8.75	6.372	38.88
