Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-Cl	IC-Cl	IC-Cl	IC-Cl	IC-Cl
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	3.313	4.5623	93.34	5.3265	47.61
6	Standard 2	Calibration Standard	3.313	9.395	92.85	10.9687	97.23
7	Standard 3	Calibration Standard	3.307	19.1871	92.85	22.4009	196.55
8	Standard 4	Calibration Standard	3.29	99.1671	92.78	115.7773	989.85
9	Standard 5	Calibration Standard	3.29	200.2862	93.37	233.8335	1948.64
10	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	P1A_20	Unknown	3.297	5476.1198	89.84	63.9335	549.12
13	P1A_40	Unknown	3.3	4137.426	90.85	48.3043	417.11
14	P2A_20	Unknown	3.3	4755.6657	92.4	55.5222	477.79
15	P2A_40	Unknown	3.297	4465.5324	91.72	52.1349	449.42
16	P3A_20	Unknown	3.297	5311.4244	89.36	62.0107	533.36
17	P3A_40	Unknown	3.297	4894.4788	89.44	57.1429	491.9
18	P4A_20	Unknown	3.297	5056.3557	92.21	59.0328	507.76
19	P4A_40	Unknown	3.3	3904.8723	93.09	45.5893	394.54
20	P5A_20	Unknown	3.297	5076.7362	93.3	59.2707	510.43
21	P5A_20_DUP	Unknown	3.297	4995.3417	93.3	58.3205	502.16
22	P5A_40	Unknown	3.293	5559.6544	91.95	64.9088	557.8
23	P5A_40_SPK	Spiked	3.297	5109.8557	89.54	59.2623	509.34
