Inj.	Injection Name	Type 	Ret.Time	Amount	Rel.Area 	Area	Height
No.	Selected Peak:		min	µg/mL	%	µS*min	µS
			CD	CD	CD	CD	CD
			IC-SO4	IC-SO4	IC-SO4	IC-SO4	IC-SO4
1	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
2	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
3	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
4	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
5	Standard 1	Calibration Standard	4.203	0.4652	6.8	0.4161	3.5
6	Standard 2	Calibration Standard	4.197	0.9404	6.92	0.8411	6.95
7	Standard 3	Calibration Standard	4.193	1.8659	6.98	1.669	13.46
8	Standard 4	Calibration Standard	4.157	9.9088	7.01	8.8632	64.25
9	Standard 5	Calibration Standard	4.117	19.9924	7.05	17.8828	115.43
10	Lab Blank	Unknown	4.203	0.0012	3.58	0.001	0.01
11	Lab Blank	Unknown	n.a.	n.a.	n.a.	n.a.	n.a.
12	333_10_Sept	Unknown	4.193	218.941	2.35	1.9584	15.63
13	333_20_Sept	Unknown	4.197	29.8443	0.31	0.267	2.23
14	333_40_Sept	Unknown	4.197	13.6267	0.16	0.1219	1.02
15	333_80_Sept	Unknown	4.203	12.4196	0.15	0.1111	0.93
16	333_120_Sept	Unknown	4.2	14.7563	0.18	0.132	1.1
17	633_10_Sept	Unknown	4.203	18.9043	0.21	0.1691	1.42
18	633_20_Sept	Unknown	4.73	12.3106	0.13	0.1101	0.88
19	633_40_Sept	Unknown	4.187	1.2592	0.01	0.0113	0.1
20	633_80_Sept	Unknown	4.187	1.423	0.02	0.0127	0.11
21	633_80_Sept_DUP	Unknown	4.187	1.3787	0.02	0.0123	0.11
22	633_120_Sept	Unknown	4.733	9.3923	0.13	0.084	0.68
23	633_120_Sept_SPK	Spiked	4.193	173.8684	2.43	1.5449	12.4
